,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_hr,Arrival_min,Departure_hr,Departure_min
125,1,1,1,1390,2.0,1,10676.0,21,5,2019,11,10,12,0
126,4,4,4,1090,1.0,4,13044.0,12,6,2019,8,15,14,5
127,4,4,4,960,1.0,4,14388.0,6,5,2019,12,0,20,0
128,3,3,3,170,0.0,3,3943.0,24,6,2019,6,50,4,0
129,3,3,3,140,0.0,3,3597.0,3,6,2019,17,5,14,45
130,1,1,1,480,1.0,1,5932.0,21,3,2019,19,50,11,50
131,4,4,4,1015,1.0,4,10262.0,15,6,2019,4,25,11,30
132,10,10,10,190,0.0,10,6216.0,12,5,2019,17,50,14,40
133,3,3,3,165,0.0,3,4804.0,15,6,2019,23,10,20,25
134,6,6,6,840,1.0,6,14067.0,21,5,2019,1,30,11,30
135,4,4,4,1430,2.0,4,15129.0,18,5,2019,19,0,19,10
136,4,4,4,1300,2.0,4,13376.0,6,6,2019,4,25,6,45
137,1,1,1,1275,2.0,1,10441.0,27,6,2019,19,15,22,0
138,4,4,4,165,0.0,4,4030.0,24,5,2019,8,45,6,0
139,4,4,4,650,1.0,4,17024.0,3,3,2019,18,50,8,0
140,6,6,6,480,1.0,6,13017.0,9,4,2019,1,30,17,30
141,2,2,2,495,1.0,2,6686.0,6,6,2019,7,45,23,30
142,3,3,3,325,1.0,3,5636.0,15,6,2019,7,25,2,0
143,3,3,3,515,1.0,3,6442.0,9,6,2019,16,10,7,35
144,6,6,6,710,1.0,6,9486.0,21,5,2019,0,55,13,5
145,4,4,4,1655,1.0,4,10844.0,21,5,2019,23,35,20,0
146,4,4,4,505,2.0,4,15318.0,3,6,2019,4,25,20,0
147,1,1,1,1255,1.0,1,5117.0,3,4,2019,9,25,12,30
148,3,3,3,290,1.0,3,6147.0,24,6,2019,20,0,15,10
149,6,6,6,490,1.0,6,7005.0,9,6,2019,21,0,12,50
150,8,8,8,140,0.0,8,3873.0,3,4,2019,0,40,22,20
151,4,4,4,1465,2.0,4,9270.0,21,3,2019,18,50,18,25
152,2,2,2,170,0.0,2,3898.0,27,6,2019,14,30,11,40
153,4,4,4,740,1.0,4,14781.0,12,5,2019,20,45,8,25
154,4,4,4,735,1.0,4,8586.0,24,5,2019,8,15,20,0
155,1,1,1,1415,2.0,1,10697.0,9,5,2019,7,55,8,20
156,4,4,4,995,2.0,4,14300.0,27,6,2019,12,35,20,0
157,3,3,3,170,0.0,3,8855.0,3,3,2019,21,45,18,55
158,4,4,4,1545,1.0,4,10844.0,12,5,2019,18,15,16,30
159,4,4,4,1570,1.0,4,17024.0,6,3,2019,4,25,2,15
160,4,4,4,1730,1.0,4,9314.0,1,5,2019,14,25,9,35
161,3,3,3,165,0.0,3,4777.0,24,3,2019,3,25,0,40
162,1,1,1,1515,1.0,1,7662.0,9,6,2019,13,15,12,0
163,3,3,3,560,1.0,3,6442.0,9,5,2019,16,10,6,50
164,8,8,8,270,1.0,8,5264.0,12,6,2019,13,15,8,45
165,4,4,4,925,1.0,4,12898.0,27,5,2019,4,25,13,0
166,1,1,1,90,0.0,1,6092.0,3,3,2019,15,25,13,55
167,8,8,8,160,0.0,8,3311.0,21,5,2019,8,35,5,55
168,4,4,4,550,1.0,4,6540.0,27,3,2019,4,25,19,15
169,3,3,3,165,0.0,3,3419.0,27,5,2019,4,15,1,30
170,4,4,4,1355,1.0,4,5177.0,3,4,2019,12,35,14,0
171,1,1,1,185,0.0,1,8246.0,18,4,2019,21,10,18,5
172,4,4,4,690,1.0,4,14676.0,9,6,2019,21,5,9,35
173,6,6,6,570,1.0,6,13587.0,27,6,2019,21,0,11,30
174,4,4,4,730,1.0,4,9663.0,6,5,2019,9,20,21,10
175,4,4,4,1055,1.0,4,13044.0,12,6,2019,10,5,16,30
176,3,3,3,305,1.0,3,5073.0,3,4,2019,1,30,20,25
177,10,10,10,1550,1.0,10,9345.0,21,5,2019,18,50,17,0
178,4,4,4,1200,1.0,4,9663.0,6,5,2019,10,5,14,5
179,6,6,6,780,1.0,6,14277.0,21,5,2019,21,0,8,0
180,4,4,4,1105,1.0,4,10262.0,1,6,2019,4,25,10,0
181,4,4,4,90,0.0,4,5678.0,27,3,2019,21,5,19,35
182,6,6,6,570,1.0,6,13727.0,15,5,2019,1,30,16,0
183,4,4,4,960,1.0,4,9663.0,6,5,2019,12,0,20,0
184,3,3,3,140,0.0,3,3858.0,12,5,2019,17,5,14,45
185,8,8,8,270,1.0,8,4812.0,24,6,2019,13,15,8,45
186,3,3,3,345,1.0,3,5775.0,27,6,2019,3,35,21,50
187,4,4,4,1450,1.0,4,10539.0,6,6,2019,9,45,9,35
188,3,3,3,155,0.0,3,4804.0,3,6,2019,18,5,15,30
189,0,0,0,165,0.0,0,3383.0,12,6,2019,13,55,11,10
190,3,3,3,295,1.0,3,8738.0,3,3,2019,17,5,12,10
191,1,1,1,1535,1.0,1,7165.0,27,3,2019,6,50,5,15
192,3,3,3,380,1.0,3,6412.0,24,6,2019,22,30,16,10
193,4,4,4,185,0.0,4,8016.0,27,6,2019,22,0,18,55
194,4,4,4,1120,1.0,4,11087.0,12,3,2019,15,15,20,35
195,8,8,8,135,0.0,8,3543.0,27,6,2019,12,0,9,45
196,4,4,4,730,1.0,4,12471.0,12,6,2019,4,40,16,30
197,4,4,4,1165,1.0,4,10262.0,24,6,2019,4,25,9,0
198,1,1,1,170,0.0,1,4441.0,18,3,2019,16,10,13,20
199,6,6,6,505,1.0,6,12537.0,27,3,2019,15,30,7,5
200,2,2,2,555,1.0,2,10091.0,24,3,2019,7,40,22,25
201,1,1,1,170,0.0,1,6961.0,3,6,2019,23,55,21,5
202,3,3,3,195,0.0,3,5013.0,24,4,2019,8,50,5,35
203,1,1,1,170,0.0,1,6934.0,18,5,2019,8,0,5,10
204,6,6,6,740,1.0,6,10877.0,3,6,2019,19,0,6,40
205,4,4,4,175,0.0,4,7229.0,18,4,2019,18,10,15,15
206,3,3,3,575,1.0,3,7048.0,27,3,2019,1,35,16,0
207,10,10,10,155,0.0,10,4878.0,27,6,2019,19,35,17,0
208,4,4,4,570,1.0,4,10844.0,21,5,2019,23,35,14,5
209,4,4,4,1760,2.0,4,15129.0,18,5,2019,4,25,23,5
210,3,3,3,175,0.0,3,3943.0,12,5,2019,3,25,0,30
211,8,8,8,315,1.0,8,5583.0,6,6,2019,11,20,6,5
212,6,6,6,545,1.0,6,9646.0,6,6,2019,16,10,7,5
213,6,6,6,645,1.0,6,7677.0,3,6,2019,19,15,8,30
214,3,3,3,295,1.0,3,6842.0,1,6,2019,10,5,5,10
215,4,4,4,90,0.0,4,4995.0,24,6,2019,10,15,8,45
216,10,10,10,700,1.0,10,9555.0,9,6,2019,18,50,7,10
217,3,3,3,165,0.0,3,4077.0,1,6,2019,4,15,1,30
218,4,4,4,175,0.0,4,7229.0,12,5,2019,18,10,15,15
219,6,6,6,600,1.0,6,12192.0,9,6,2019,19,0,9,0
220,1,1,1,165,0.0,1,5911.0,12,4,2019,12,45,10,0
221,1,1,1,615,1.0,1,8372.0,12,6,2019,19,15,9,0
222,4,4,4,85,0.0,4,4995.0,18,3,2019,8,35,7,10
223,6,6,6,555,1.0,6,14323.0,9,5,2019,19,15,10,0
224,4,4,4,1375,2.0,4,13014.0,9,6,2019,4,25,5,30
225,1,1,1,1730,2.0,1,13591.0,6,6,2019,19,15,14,25
226,4,4,4,2245,2.0,4,18799.0,3,3,2019,18,50,5,25
227,3,3,3,170,0.0,3,3943.0,27,4,2019,2,20,23,30
228,8,8,8,90,0.0,8,1965.0,21,5,2019,7,15,5,45
229,4,4,4,90,0.0,4,4995.0,27,5,2019,11,50,10,20
230,1,1,1,1540,1.0,1,14641.0,24,3,2019,18,30,16,50
231,1,1,1,155,0.0,1,4460.0,12,4,2019,23,20,20,45
232,1,1,1,375,1.0,1,10191.0,18,5,2019,19,15,13,0
233,4,4,4,1050,1.0,4,13843.0,9,3,2019,19,45,2,15
234,3,3,3,345,1.0,3,6349.0,1,5,2019,3,35,21,50
235,0,0,0,155,0.0,0,4409.0,1,5,2019,12,55,10,20
236,4,4,4,1530,1.0,4,17024.0,6,3,2019,19,45,18,15
237,6,6,6,835,1.0,6,13727.0,18,5,2019,21,0,7,5
238,3,3,3,175,0.0,3,8855.0,15,3,2019,21,20,18,25
239,6,6,6,615,1.0,6,12524.0,24,6,2019,19,0,8,45
240,4,4,4,520,1.0,4,13555.0,18,3,2019,20,20,11,40
241,4,4,4,330,1.0,4,10844.0,6,6,2019,12,0,6,30
242,6,6,6,720,1.0,6,13587.0,9,6,2019,21,0,9,0
243,8,8,8,135,0.0,8,3543.0,12,6,2019,12,0,9,45
244,10,10,10,135,0.0,10,4842.0,18,3,2019,9,20,7,5
245,3,3,3,170,0.0,3,3943.0,24,4,2019,2,20,23,30
246,4,4,4,550,1.0,4,10577.0,9,6,2019,4,25,19,15
247,3,3,3,625,1.0,3,6979.0,15,5,2019,21,0,10,35
248,10,10,10,140,0.0,10,11982.0,27,6,2019,20,5,17,45
249,8,8,8,270,1.0,8,5264.0,6,6,2019,13,15,8,45
250,10,10,10,190,0.0,10,8001.0,3,3,2019,9,10,6,0
251,1,1,1,1410,2.0,1,10651.0,1,6,2019,19,15,19,45
252,4,4,4,1640,1.0,4,10844.0,24,5,2019,19,50,16,30
253,6,6,6,755,1.0,6,6601.0,27,3,2019,22,20,9,45
254,1,1,1,1455,1.0,1,6587.0,21,3,2019,19,15,19,0
255,8,8,8,80,0.0,8,3173.0,21,3,2019,14,30,13,10
256,1,1,1,165,0.0,1,5228.0,9,5,2019,12,45,10,0
257,4,4,4,180,0.0,4,5769.0,21,6,2019,10,10,7,10
258,4,4,4,660,1.0,4,14714.0,6,6,2019,19,0,8,0
259,4,4,4,810,2.0,4,13014.0,3,6,2019,19,0,5,30
260,3,3,3,170,0.0,3,3359.0,3,6,2019,1,0,22,10
261,2,2,2,175,0.0,2,6722.0,3,3,2019,23,50,20,55
262,3,3,3,165,0.0,3,4462.0,18,3,2019,12,20,9,35
263,3,3,3,675,1.0,3,6171.0,9,3,2019,16,10,4,55
264,1,1,1,875,2.0,1,12303.0,21,5,2019,20,25,5,50
265,6,6,6,835,1.0,6,7695.0,21,3,2019,1,35,11,40
266,3,3,3,845,1.0,3,5684.0,24,6,2019,1,30,11,25
267,1,1,1,905,1.0,1,8366.0,12,6,2019,7,55,16,50
268,1,1,1,135,0.0,1,19630.0,1,3,2019,13,55,11,40
269,4,4,4,900,1.0,4,13502.0,6,3,2019,5,5,14,5
270,4,4,4,775,1.0,4,14781.0,1,5,2019,10,5,21,10
271,6,6,6,540,1.0,6,6513.0,12,6,2019,16,10,7,10
272,1,1,1,735,1.0,1,9929.0,1,6,2019,19,15,7,0
273,6,6,6,460,2.0,6,18275.0,6,6,2019,1,30,17,50
274,1,1,1,1640,1.0,1,4487.0,9,4,2019,9,25,6,5
275,3,3,3,85,0.0,3,2754.0,15,3,2019,22,45,21,20
276,1,1,1,80,0.0,1,2575.0,27,3,2019,7,40,6,20
277,8,8,8,330,1.0,8,8224.0,12,6,2019,21,25,15,55
278,1,1,1,705,1.0,1,8991.0,9,3,2019,8,15,20,30
279,3,3,3,195,0.0,3,5000.0,24,6,2019,8,50,5,35
280,4,4,4,1495,1.0,4,8529.0,12,6,2019,19,50,18,55
281,1,1,1,1640,1.0,1,14042.0,3,3,2019,9,25,6,5
282,4,4,4,175,0.0,4,4030.0,24,5,2019,14,5,11,10
283,4,4,4,1025,1.0,4,10844.0,6,6,2019,12,0,18,55
284,3,3,3,160,0.0,3,4804.0,6,5,2019,0,5,21,25
285,6,6,6,480,1.0,6,7308.0,27,5,2019,1,30,17,30
286,3,3,3,180,0.0,3,4823.0,12,5,2019,19,55,16,55
287,4,4,4,1655,1.0,4,10262.0,24,6,2019,12,35,9,0
288,4,4,4,450,1.0,4,12898.0,27,5,2019,4,25,20,55
289,1,1,1,1375,2.0,1,12778.0,12,3,2019,16,20,17,25
290,3,3,3,515,1.0,3,14871.0,3,3,2019,13,20,4,45
291,1,1,1,1795,2.0,1,8708.0,21,3,2019,19,15,13,20
292,4,4,4,1335,1.0,4,10844.0,6,6,2019,18,15,20,0
293,8,8,8,80,0.0,8,4129.0,6,3,2019,7,5,5,45
294,3,3,3,160,0.0,3,4804.0,18,5,2019,0,5,21,25
295,4,4,4,180,0.0,4,7229.0,6,5,2019,11,20,8,20
296,4,4,4,730,1.0,4,7832.0,21,3,2019,19,10,7,0
297,8,8,8,155,0.0,8,3859.0,18,3,2019,12,5,9,30
298,6,6,6,705,1.0,6,9001.0,6,6,2019,19,15,7,30
299,10,10,10,155,0.0,10,4878.0,9,5,2019,19,35,17,0
300,3,3,3,90,0.0,3,2754.0,3,5,2019,4,5,2,35
301,10,10,10,160,0.0,10,4668.0,27,6,2019,9,40,7,0
302,0,0,0,155,0.0,0,5216.0,12,5,2019,12,55,10,20
303,4,4,4,1375,2.0,4,10368.0,6,6,2019,4,25,5,30
304,3,3,3,880,2.0,3,8146.0,9,3,2019,21,20,6,40
305,4,4,4,925,1.0,4,12242.0,27,3,2019,4,25,13,0
306,4,4,4,435,1.0,4,9134.0,15,3,2019,15,15,8,0
307,1,1,1,1210,2.0,1,10939.0,6,6,2019,9,25,13,15
308,1,1,1,1245,2.0,1,11753.0,6,6,2019,7,40,10,55
309,8,8,8,150,0.0,8,4174.0,24,4,2019,19,40,17,10
310,4,4,4,1430,1.0,4,10844.0,21,5,2019,19,50,20,0
311,4,4,4,1620,1.0,4,14714.0,3,6,2019,19,0,16,0
312,4,4,4,330,1.0,4,9899.0,12,6,2019,12,0,6,30
313,3,3,3,710,1.0,3,14871.0,3,3,2019,21,0,9,10
314,3,3,3,135,0.0,3,7295.0,6,3,2019,15,35,13,20
315,1,1,1,1470,2.0,1,13465.0,6,6,2019,19,15,18,45
316,8,8,8,140,0.0,8,3543.0,21,5,2019,20,5,17,45
317,6,6,6,390,1.0,6,7198.0,27,6,2019,1,30,19,0
318,4,4,4,1225,1.0,4,10262.0,1,6,2019,4,25,8,0
319,3,3,3,155,0.0,3,4148.0,15,3,2019,17,55,15,20
320,4,4,4,175,0.0,4,8016.0,27,6,2019,18,10,15,15
321,4,4,4,335,1.0,4,10262.0,9,6,2019,4,25,22,50
322,8,8,8,150,0.0,8,3841.0,15,6,2019,17,25,14,55
323,4,4,4,885,1.0,4,11507.0,12,3,2019,0,30,9,45
324,4,4,4,740,1.0,4,14781.0,1,5,2019,20,45,8,25
325,4,4,4,1530,1.0,4,16079.0,27,5,2019,19,0,17,30
326,4,4,4,335,1.0,4,12898.0,27,5,2019,4,25,22,50
327,6,6,6,705,1.0,6,15353.0,6,3,2019,19,15,7,30
328,3,3,3,175,0.0,3,7303.0,24,3,2019,21,20,18,25
329,8,8,8,340,1.0,8,6197.0,24,3,2019,20,45,15,5
330,1,1,1,245,1.0,1,8996.0,9,6,2019,13,15,9,10
331,3,3,3,480,1.0,3,6528.0,21,3,2019,22,20,14,20
332,2,2,2,165,0.0,2,4239.0,9,4,2019,23,40,20,55
333,3,3,3,160,0.0,3,4148.0,12,3,2019,23,5,20,25
334,8,8,8,175,0.0,8,3971.0,24,5,2019,0,5,21,10
335,0,0,0,955,1.0,0,5192.0,6,5,2019,23,30,7,35
336,4,4,4,1390,2.0,4,9483.0,9,4,2019,12,35,13,25
337,4,4,4,440,2.0,4,18804.0,3,6,2019,19,0,11,40
338,1,1,1,170,0.0,1,5201.0,18,6,2019,8,0,5,10
339,4,4,4,450,1.0,4,16079.0,27,5,2019,19,0,11,30
340,4,4,4,180,0.0,4,7229.0,15,6,2019,22,50,19,50
341,6,6,6,465,1.0,6,6795.0,27,5,2019,1,30,17,45
342,4,4,4,1520,1.0,4,10953.0,9,5,2019,10,55,9,35
343,6,6,6,625,2.0,6,15965.0,24,6,2019,1,30,15,5
344,1,1,1,1820,2.0,1,9968.0,9,4,2019,19,15,12,55
345,3,3,3,155,0.0,3,4804.0,6,6,2019,0,50,22,15
346,4,4,4,540,1.0,4,16079.0,27,5,2019,19,0,10,0
347,4,4,4,910,2.0,4,11507.0,12,6,2019,12,35,21,25
348,1,1,1,1700,2.0,1,11542.0,9,6,2019,13,45,9,25
349,4,4,4,180,0.0,4,7229.0,24,4,2019,20,45,17,45
350,4,4,4,165,0.0,4,4544.0,27,4,2019,8,45,6,0
351,3,3,3,295,1.0,3,6496.0,15,5,2019,10,5,5,10
352,3,3,3,160,0.0,3,4804.0,15,6,2019,0,5,21,25
353,1,1,1,1330,1.0,1,13439.0,1,3,2019,9,15,11,5
354,4,4,4,610,1.0,4,6540.0,27,3,2019,4,25,18,15
355,3,3,3,170,0.0,3,4591.0,1,6,2019,2,20,23,30
356,3,3,3,260,1.0,3,4437.0,18,3,2019,20,35,16,15
357,0,0,0,660,1.0,0,6151.0,21,3,2019,7,10,20,10
358,4,4,4,180,0.0,4,7754.0,21,6,2019,20,45,17,45
359,4,4,4,1355,1.0,4,10262.0,24,6,2019,12,35,14,0
360,4,4,4,185,0.0,4,8016.0,9,6,2019,22,0,18,55
361,8,8,8,160,0.0,8,4781.0,24,3,2019,9,35,6,55
362,10,10,10,170,0.0,10,4668.0,27,6,2019,14,20,11,30
363,1,1,1,1265,1.0,1,14594.0,6,3,2019,8,55,11,50
364,4,4,4,710,1.0,4,14231.0,24,3,2019,4,45,16,55
365,1,1,1,1535,1.0,1,8425.0,15,5,2019,6,50,5,15
366,6,6,6,925,1.0,6,9646.0,12,6,2019,22,30,7,5
367,3,3,3,145,0.0,3,7295.0,3,3,2019,17,5,14,40
368,0,0,0,220,1.0,0,5162.0,9,4,2019,10,30,6,50
369,3,3,3,175,0.0,3,6860.0,9,3,2019,21,20,18,25
370,10,10,10,190,0.0,10,6216.0,15,4,2019,9,10,6,0
371,0,0,0,710,1.0,0,5192.0,24,5,2019,19,25,7,35
372,3,3,3,170,0.0,3,4823.0,9,4,2019,22,50,20,0
373,8,8,8,170,0.0,8,3919.0,3,4,2019,12,20,9,30
374,3,3,3,90,0.0,3,2754.0,3,6,2019,20,35,19,5
375,6,6,6,690,1.0,6,9315.0,9,5,2019,19,0,7,30
376,6,6,6,530,1.0,6,11667.0,27,3,2019,18,50,10,0
377,4,4,4,1215,1.0,4,6224.0,12,6,2019,4,40,8,25
378,1,1,1,1210,2.0,1,13349.0,24,3,2019,5,35,9,25
379,4,4,4,965,1.0,4,11087.0,18,3,2019,9,0,16,55
380,6,6,6,755,1.0,6,15603.0,6,3,2019,1,35,13,0
381,4,4,4,1025,2.0,4,15129.0,9,5,2019,12,35,19,30
